,Plant_ID,Long,Lat
96,joxy027,-6.4043,36.829276
97,joxy028,-6.40417,36.828787
98,joxy029,-6.404116,36.828874
99,mcom001,-6.481929989532,36.982639962807
100,mcom002,-6.482120007277,36.982859987766
101,mcom003,-6.473669959232,36.989780003205
102,mcom004,-6.473729973659,36.98977002874
103,mcom005,-6.473959973082,36.989559978247
104,mcom006,-6.473919991404,36.989610018209
105,mcom007,-6.473949998617,36.989610018209
106,mcom008,-6.482090000063,36.982829980552
107,mcom009,-6.482340032235,36.981549980119
108,mcom010,-6.473949999,36.98961002
109,mcom011,-6.48209,36.98282998
110,mcom012,-6.482340032,36.98154998
111,oeur001,-6.444530021399,37.023290013894
112,oeur002,-6.444439999759,37.023320021108
113,oeur004,-6.444475036114,37.023964002729
114,oeur005,-6.443957034498,37.02392402105
115,oeur011,-6.444415022,37.02318801
116,oeur012,-6.443773974,37.02393299
117,oeur013,-6.005634964,37.41198803
118,oeur014,-6.444409993,37.023662
119,oeur015,-6.444596993,37.02418503
120,oeur016,-6.444489034,37.024222
121,oeur017,-6.444674022,37.02429299
122,oeur018,-6.444847025,37.02415402
123,oeur019,-6.445063027,37.02424899
124,oeur020,-6.445088005,37.02401002
125,oeur021,-6.445003012,37.02359302
126,oeur022,-6.26516,37.01192
127,olan015,-6.53216701,37.01616397
128,olan018,-6.534600025,37.01724297
129,pbou001,-6.442279983312,36.983059979975
130,pbou002,-6.445870036259,36.991810016334
131,pbou003,-6.445850003511,36.992100030184
132,pbou004,-6.444660024717,36.994730019942
133,pbou005,-6.444170018658,37.00121995993
134,pbou006,-6.446129959077,36.991640031338
135,pbou007,-6.445980006829,36.991740027443
136,pbou008,-6.440920019522,37.028919970617
137,pbou009,-6.441150018945,37.028919970617
138,pbou010,-6.44260997884,37.025940036401
139,pbou011,-6.443789983168,37.001230018213
140,pbou012,-6.44614001736,37.020969986916
141,ppin001,-6.451829988509,36.992040015757
142,ppin002,-6.451799981296,36.991949994117
143,ppin003,-6.451790006831,36.991989975795
144,ppin004,-6.451999973506,36.992130037397
145,ppin005,-6.451980024576,36.992240007967
146,rper001,-6.48388,36.98085
147,rper002,-6.005939980969,37.411819975823
148,rper003,-6.452946039,36.98836002
149,rulm001,-6.452510012314,36.960070012137
150,rulm002,-6.452600033954,36.959849987179
151,rulm003,-6.452619982883,36.959930034354
152,rulm004,-6.452400041744,36.960070012137
153,rulm005,-6.452029980719,36.960089961067
154,rulm006,-6.452240031213,36.959020011127
