"";"interval";"Sp1";"File";"Plant";"Plant_ID";"Revision_ID";"DateTime";"Species";"Behaviour";"Count";"Coexistence";"Deployment_ID";"n_cam";"Videos";"Days";"Days.in.field";"n";"duration";"long";"lat";"videos_events";"ID"
"32";2020-07-13 00:55:00;"sus scrofa";"07130047.AVI";"corema";"calb02";"Rev01";2020-07-13 00:52:34;"sus scrofa";"eating";1;FALSE;NA;1;463;25,1984490740741;26;1;10,466667;-6,445671;36,970016;3,46410161513775;"calb02_Rev01_07130047.AVI"
"33";2020-07-13 01:25:00;"sus scrofa";"IMG_0258.MP4, IMG_0259.MP4, IMG_0260.MP4, IMG_0261.MP4, IMG_0262.MP4, IMG_0263.MP4, IMG_0264.MP4";"corema";"calb18";"Rev01";2020-07-13 01:23:40;"sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating, eating, eating, eating, eating";1;FALSE;NA;1;554;25,0454861111111;26;7;124;-6,447037;36,968316;9,16515138991168;"calb18_Rev01_IMG_0258.MP4, IMG_0259.MP4, IMG_0260.MP4, IMG_0261.MP4, IMG_0262.MP4, IMG_0263.MP4, IMG_0264.MP4"
"34";2020-07-13 01:45:00;"sus scrofa";"07130013.AVI";"corema";"calb19";"Rev01";2020-07-13 01:46:48;"sus scrofa";"eating";1;FALSE;NA;1;170;25,0371296296296;26;1;10,466667;-6,447032;36,968581;3,46410161513775;"calb19_Rev01_07130013.AVI"
"35";2020-07-13 02:40:00;"sus scrofa";"07130057.MP4, 07130058.MP4, 07130059.MP4, 07130060.MP4, 07130061.MP4";"corema";"calb13";"Rev01";2020-07-13 02:41:24;"sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating, eating, eating";1;FALSE;NA;1;356;25,2058333333333;26;5;50,592;-6,446306;36,9695;7,74596669241483;"calb13_Rev01_07130057.MP4, 07130058.MP4, 07130059.MP4, 07130060.MP4, 07130061.MP4"
"36";2020-07-13 02:45:00;"sus scrofa";"07130062.MP4, 07130063.MP4, 07130064.MP4, 07130065.MP4, 07130066.MP4, 07130067.MP4, 07130068.MP4, 07130069.MP4, 07130070.MP4";"corema";"calb13";"Rev01";2020-07-13 02:42:48;"sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating, eating, eating, eating, eating, eating, eating";1;FALSE;NA;1;356;25,2058333333333;26;9;90,03;-6,446306;36,9695;10,3923048454133;"calb13_Rev01_07130062.MP4, 07130063.MP4, 07130064.MP4, 07130065.MP4, 07130066.MP4, 07130067.MP4, 07130068.MP4, 07130069.MP4, 07130070.MP4"
"37";2020-07-13 02:50:00;"sus scrofa";"07130072.MP4";"corema";"calb13";"Rev01";2020-07-13 02:52:30;"sus scrofa";"eating";1;FALSE;NA;1;356;25,2058333333333;26;1;10,045;-6,446306;36,9695;3,46410161513775;"calb13_Rev01_07130072.MP4"
"38";2020-07-13 03:20:00;"sus scrofa";"07130048.AVI, 07130049.AVI";"corema";"calb02";"Rev01";2020-07-13 03:19:30;"sus scrofa, sus scrofa";"eating, eating";1;FALSE;NA;1;463;25,1984490740741;26;2;20,933334;-6,445671;36,970016;4,89897948556636;"calb02_Rev01_07130048.AVI, 07130049.AVI"
"39";2020-07-13 03:25:00;"sus scrofa";"IMG_0200.MP4, IMG_0201.MP4, IMG_0202.MP4, IMG_0203.MP4, IMG_0205.MP4";"corema";"calb03";"Rev01";2020-07-13 03:24:12;"sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating, eating, eating";1;FALSE;NA;1;599;11,0667592592593;26;5;90;-6,445896;36,97007;7,74596669241483;"calb03_Rev01_IMG_0200.MP4, IMG_0201.MP4, IMG_0202.MP4, IMG_0203.MP4, IMG_0205.MP4"
"40";2020-07-13 03:30:00;"sus scrofa";"07130050.AVI, IMG_0206.MP4, IMG_0207.MP4, IMG_0208.MP4";"corema";"calb02";"Rev01";2020-07-13 03:28:12;"sus scrofa, sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating, probably eating";1;FALSE;NA;1;565;14,599681712963;26;4;50,466667;-6,445671;36,970016;6,92820323027551;"calb02_Rev01_07130050.AVI, IMG_0206.MP4, IMG_0207.MP4, IMG_0208.MP4"
"41";2020-07-13 03:35:00;"sus scrofa";"07130051.AVI";"corema";"calb02";"Rev01";2020-07-13 03:35:04;"sus scrofa";"eating";1;FALSE;NA;1;463;25,1984490740741;26;1;10,033333;-6,445671;36,970016;3,46410161513775;"calb02_Rev01_07130051.AVI"
