"";"interval";"Sp1";"File";"Plant";"Plant_ID";"Revision_ID";"Species";"Behaviour";"Count";"Coexistence";"Deployment_ID";"n_cam";"Videos";"Days";"Days.in.field";"n";"duration";"long";"lat";"videos_events";"ID";"Dt_correct";"DateTime"
"13";2022-12-15 03:45:00;"cervus elaphus";"IMG_0012.MP4";"joxy";"Joxy026";"Rev07";"cervus elaphus";"searching for food";1;FALSE;"Joxy026_31";1;21;19,79212963;NA;1;10;-6,404463;36,829852;3,46410161513775;"Joxy026_Rev07_IMG_0012";2022-12-15 03:42:36;2022-12-15 03:42:36
"14";2022-12-15 04:00:00;"cervus elaphus";"IMG_0027.MP4, IMG_0028.MP4, IMG_0029.MP4";"joxy";"Joxy004";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, eating";1;FALSE;"Joxy004_32";1;84;19,88261574;NA;3;30;-6,403967;36,830325;6;"Joxy004_Rev07_IMG_0027";2022-12-15 03:59:40;2022-12-15 03:59:40
"15";2022-12-15 04:05:00;"cervus elaphus";"IMG_0030.MP4, IMG_0031.MP4, IMG_0032.MP4";"joxy";"Joxy004";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, eating";1;FALSE;"Joxy004_32";1;84;19,88261574;NA;3;30;-6,403967;36,830325;6;"Joxy004_Rev07_IMG_0030";2022-12-15 04:03:54;2022-12-15 04:03:54
"16";2022-12-15 04:10:00;"cervus elaphus";"IMG_0033.MP4, IMG_0034.MP4, IMG_0035.MP4, IMG_0036.MP4, IMG_0037.MP4";"joxy";"Joxy004";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, eating, eating, eating";1;FALSE;"Joxy004_32";1;84;19,88261574;NA;5;69;-6,403967;36,830325;7,74596669241483;"Joxy004_Rev07_IMG_0033";2022-12-15 04:09:58;2022-12-15 04:09:58
"17";2022-12-15 05:15:00;"cervus elaphus";"IMG_0049.MP4";"joxy";"Joxy004";"Rev07";"cervus elaphus";"searching for food";1;FALSE;"Joxy004_32";1;84;19,88261574;NA;1;20;-6,403967;36,830325;3,46410161513775;"Joxy004_Rev07_IMG_0049";2022-12-15 05:12:32;2022-12-15 05:12:32
"18";2022-12-15 05:55:00;"cervus elaphus";"12150016.AVI, 12150017.AVI, 12150018.AVI, 12150019.AVI, 12150020.AVI, 12150021.AVI, 12150022.AVI";"joxy";"Joxy024";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, eating, eating, eating, eating, probably eating";1;FALSE;"Joxy024_42";1;49;19,18386574;NA;7;73,266669;-6,403635;36,830234;9,16515138991168;"Joxy024_Rev07_12150016";2022-12-15 05:52:34;2022-12-15 05:52:34
"19";2022-12-15 17:10:00;"cervus elaphus";"IMG_0053.MP4, IMG_0054.MP4, IMG_0055.MP4";"joxy";"Joxy004";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus";"eating, probably eating, eating";1;FALSE;"Joxy004_32";1;84;19,88261574;NA;3;83,5;-6,403967;36,830325;6;"Joxy004_Rev07_IMG_0053";2022-12-15 17:11:18;2022-12-15 17:11:18
"20";2022-12-15 17:45:00;"cervus elaphus";"12150022.AVI";"joxy";"Joxy021";"Rev07";"cervus elaphus";"probably eating";1;FALSE;"Joxy021_45";1;37;19,98108796;NA;1;10,466667;-6,402605;36,828975;3,46410161513775;"Joxy021_Rev07_12150022";2022-12-15 17:44:06;2022-12-15 17:44:06
"21";2022-12-15 21:25:00;"cervus elaphus";"12150023.AVI, 12150024.AVI, 12150025.AVI, 12150026.AVI, 12150027.AVI, 12150028.AVI, 12150029.AVI";"joxy";"Joxy025";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus";"eating, probably eating, probably eating, probably eating, probably eating, probably eating, probably eating";1;FALSE;"Joxy025_41";1;38;19,80138889;NA;7;73,266669;-6,404557;36,830019;9,16515138991168;"Joxy025_Rev07_12150023";2022-12-15 21:22:52;2022-12-15 21:22:52
"22";2022-12-16 01:00:00;"cervus elaphus";"IMG_0042.AVI, IMG_0043.AVI";"joxy";"Joxy016";"Rev07";"cervus elaphus, cervus elaphus";"searching for food, searching for food";1;FALSE;"Joxy016_16";1;53;20,053125;NA;2;20,249676;-6,40406;36,828234;4,89897948556636;"Joxy016_Rev07_IMG_0042";2022-12-16 00:58:10;2022-12-16 00:58:10
