"","plant","plant_ID","DateTime","Sp1","behaviour","Count","ncam","Videos","Days","duration","TimestampIssues","Long","Lat","path"
"355","plen","Plen306","2019-10-24 9:20:28","parus major","prob_feeding / exploring",1,1,NA,9,31,NA,-6.4452676,36.9656848,"/Helen_file/GH020019"
"356","plen","Plen306","2019-11-07 8:12:47","cyanistes caeruleus","feeding / perching / exploring",1,1,NA,9,157,NA,-6.4452676,36.9656848,"/Helen_file/GH010053"
"357","plen","Plen306","2019-01-24 10:33:20","erithacus rubecula","feeding",1,1,NA,9,64,NA,-6.4452676,36.9656848,"/Helen_file/GH020023"
"358","plen","Plen306","2019-09-11 9:37:14","sylvia melanocephala","feeding / exploring",1,1,NA,9,61,NA,-6.4452676,36.9656848,"/Helen_file/GH030009"
"359","plen","Plen306","2019-09-11 9:13:09","sylvia melanocephala","feeding / exploring",1,1,NA,9,203,NA,-6.4452676,36.9656848,"/Helen_file/GH010009"
"360","plen","Plen306","2019-09-11 10:54:41","sylvia melanocephala","exploring / prob_feeding",1,1,NA,9,16,NA,-6.4452676,36.9656848,"/Helen_file/GH070009"
"361","plen","Plen306","2019-01-24 11:53:00","erithacus rubecula","feeding",1,1,NA,9,72,NA,-6.4452676,36.9656848,"/Helen_file/GH070023"
"362","plen","Plen306","2019-01-24 12:01:28","sylvia melanocephala","feeding",1,1,NA,9,13,NA,-6.4452676,36.9656848,"/Helen_file/GH070023"
"363","plen","Plen306","2019-01-24 11:16:17","sylvia melanocephala","prob feeding",1,1,NA,9,17,NA,-6.4452676,36.9656848,"/Helen_file/GH050023"
"364","plen","Plen306","2019-12-04 11:03:07","sylvia melanocephala","exploring / prob_feeding",1,1,NA,9,47,NA,-6.4452676,36.9656848,"/Helen_file/GH080036"
"365","plen","Plen307","2019-01-17 11:38:41","erithacus rubecula","feeding",1,1,NA,9,18,NA,-6.4454177,36.9658618,"/Helen_file/GH070004"
"366","plen","Plen307","2019-01-17 10:06:05","erithacus rubecula","prob feeding",1,1,NA,9,35,NA,-6.4454177,36.9658618,"/Helen_file/GH020004"
"367","plen","Plen307","2019-10-09 10:03:04","sylvia atricapilla","NV / prob_feeding",1,1,NA,9,34,NA,-6.4454177,36.9658618,"/Helen_file/GH030014"
"368","plen","Plen307","2019-12-04 10:51:33","erithacus rubecula","feeding",1,1,NA,9,46,NA,-6.4454177,36.9658618,"/Helen_file/GH080027"
"369","plen","Plen307","2020-01-15 9:41:11","sylvia atricapilla","feeding / NV",1,1,NA,9,27,NA,-6.4454177,36.9658618,"/Helen_file/GH010043"
"370","plen","Plen307","2019-10-09 9:25:57","sylvia atricapilla","NV / prob_feeding / singing",1,1,NA,9,89,NA,-6.4454177,36.9658618,"/Helen_file/GH010014"
"371","plen","Plen307","2019-01-17 10:22:22","erithacus rubecula","prob feeding",1,1,NA,9,62,NA,-6.4454177,36.9658618,"/Helen_file/GH030004"
"372","plen","Plen307","2019-10-09 10:35:24","sylvia atricapilla","NV / prob_feeding",1,1,NA,9,123,NA,-6.4454177,36.9658618,"/Helen_file/GH050014"
"373","plen","Plen307","2019-10-09 9:24:27","sylvia melanocephala","NV / prob_feeding",1,1,NA,9,134,NA,-6.4454177,36.9658618,"/Helen_file/GH010014"
"374","plen","Plen307","2019-11-07 8:38:27","sylvia melanocephala","perching / NV / prob_feeding",1,1,NA,9,187,NA,-6.4454177,36.9658618,"/Helen_file/GH030029"
"375","plen","Plen307","2019-12-18 9:58:08","erithacus rubecula","exploring / prob_feeding",1,1,NA,9,103,NA,-6.4454177,36.9658618,"/Helen_file/GH050059"
"376","plen","Plen307","2019-11-07 10:07:21","chloris chloris","feeding",1,1,NA,9,141,NA,-6.4454177,36.9658618,"/Helen_file/GH080029"
"377","plen","Plen307","2019-10-24 10:42:10","chloris chloris","feeding / NV",1,1,NA,9,80,NA,-6.4454177,36.9658618,"/Helen_file/GH070014"
"378","plen","Plen307","2019-11-07 10:07:20","chloris chloris","feeding / NV",1,1,NA,9,110,NA,-6.4454177,36.9658618,"/Helen_file/GH080029"
"379","plen","Plen307","2019-12-04 10:54:11","erithacus rubecula","exploring / prob_feeding",1,1,NA,9,31,NA,-6.4454177,36.9658618,"/Helen_file/GH080027"
"380","plen","Plen307","2019-12-04 10:28:21","erithacus rubecula","feeding",1,1,NA,9,42,NA,-6.4454177,36.9658618,"/Helen_file/GH060027"
"381","plen","Plen308","2019-10-24 10:31:23","erithacus rubecula","prob_feeding / perching / NV",1,1,NA,9,104,NA,-6.4453657,36.9657131,"/Helen_file/GH060024"
"382","plen","Plen308","2019-12-04 10:10:56","sylvia melanocephala","exploring / prob_feeding",1,1,NA,9,24,NA,-6.4453657,36.9657131,"/Helen_file/GH050029"
"383","plen","Plen308","2019-11-20 10:48:41","sylvia melanocephala","feeding / NV",1,1,NA,9,62,NA,-6.4453657,36.9657131,"/Helen_file/GH080022"
"384","plen","Plen308","2019-11-20 10:23:02","sylvia melanocephala","prob_feeding",1,1,NA,9,50,NA,-6.4453657,36.9657131,"/Helen_file/GH060022"
"385","plen","Plen308","2019-11-20 9:34:40","sylvia melanocephala","feeding / NV",1,1,NA,9,61,NA,-6.4453657,36.9657131,"/Helen_file/GH040022"
"386","plen","Plen308","2019-11-20 8:57:43","sylvia melanocephala","feeding / NV",1,1,NA,9,36,NA,-6.4453657,36.9657131,"/Helen_file/GH020022"
"387","plen","Plen308","2019-01-17 10:12:51","erithacus rubecula","prob feeding",1,1,NA,9,58,NA,-6.4453657,36.9657131,"/Helen_file/GH020005"
"388","plen","Plen308","2019-11-20 10:43:15","sylvia melanocephala","prob_feeding",1,1,NA,9,32,NA,-6.4453657,36.9657131,"/Helen_file/GH080022"
"389","plen","Plen308","2019-11-20 9:53:13","sylvia melanocephala","feeding / NV",1,1,NA,9,71,NA,-6.4453657,36.9657131,"/Helen_file/GH050022"
"390","plen","Plen308","2019-11-20 9:53:13","sylvia melanocephala","feeding / NV",1,1,NA,9,122,NA,-6.4453657,36.9657131,"/Helen_file/GH050022"
