"","X.1","X","Path","filemodifydate","duration","fileType","FrameRate","ImageWidth","ImageHeight","Compression"
"108",108,108,"Rev1_20211109/Aune001_19/IMG_0108.AVI","2021:10:26 16:42:50+02:00","16.799832","AVI","30.000300003",1296,720,"MJPG"
"109",109,109,"Rev1_20211109/Aune001_19/IMG_0109.AVI","2021:10:26 16:43:40+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"110",110,110,"Rev1_20211109/Aune001_19/IMG_0110.AVI","2021:10:26 16:44:28+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"111",111,111,"Rev1_20211109/Aune001_19/IMG_0111.AVI","2021:10:26 16:51:54+02:00","16.833165","AVI","30.000300003",1296,720,"MJPG"
"112",112,112,"Rev1_20211109/Aune001_19/IMG_0112.AVI","2021:10:26 16:52:22+02:00","26.266404","AVI","30.000300003",1296,720,"MJPG"
"113",113,113,"Rev1_20211109/Aune001_19/IMG_0113.AVI","2021:10:26 16:52:40+02:00","10.466562","AVI","30.000300003",1296,720,"MJPG"
"114",114,114,"Rev1_20211109/Aune001_19/IMG_0114.AVI","2021:10:26 16:53:00+02:00","16.799832","AVI","30.000300003",1296,720,"MJPG"
"115",115,115,"Rev1_20211109/Aune001_19/IMG_0115.AVI","2021:10:26 16:53:20+02:00","16.799832","AVI","30.000300003",1296,720,"MJPG"
"116",116,116,"Rev1_20211109/Aune001_19/IMG_0116.AVI","2021:10:26 16:53:52+02:00","19.966467","AVI","30.000300003",1296,720,"MJPG"
"117",117,117,"Rev1_20211109/Aune001_19/IMG_0117.AVI","2021:10:26 16:56:40+02:00","17.833155","AVI","30.000300003",1296,720,"MJPG"
"118",118,118,"Rev1_20211109/Aune001_19/IMG_0118.AVI","2021:10:26 16:58:04+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"119",119,119,"Rev1_20211109/Aune001_19/IMG_0119.AVI","2021:10:26 16:59:34+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"120",120,120,"Rev1_20211109/Aune001_19/IMG_0120.AVI","2021:10:26 17:02:56+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"121",121,121,"Rev1_20211109/Aune001_19/IMG_0121.AVI","2021:10:26 17:07:42+02:00","18.866478","AVI","30.000300003",1296,720,"MJPG"
"122",122,122,"Rev1_20211109/Aune001_19/IMG_0122.AVI","2021:10:26 17:07:58+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"123",123,123,"Rev1_20211109/Aune001_19/IMG_0123.AVI","2021:10:26 17:08:12+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"124",124,124,"Rev1_20211109/Aune001_19/IMG_0124.AVI","2021:10:26 17:08:54+02:00","35.699643","AVI","30.000300003",1296,720,"MJPG"
"125",125,125,"Rev1_20211109/Aune001_19/IMG_0125.AVI","2021:10:26 17:09:32+02:00","31.533018","AVI","30.000300003",1296,720,"MJPG"
"126",126,126,"Rev1_20211109/Aune001_19/IMG_0126.AVI","2021:10:26 17:10:14+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"127",127,127,"Rev1_20211109/Aune001_19/IMG_0127.AVI","2021:10:26 17:11:04+02:00","46.232871","AVI","30.000300003",1296,720,"MJPG"
"128",128,128,"Rev1_20211109/Aune001_19/IMG_0128.AVI","2021:10:26 17:11:46+02:00","18.933144","AVI","30.000300003",1296,720,"MJPG"
"129",129,129,"Rev1_20211109/Aune001_19/IMG_0129.AVI","2021:10:26 17:13:40+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"130",130,130,"Rev1_20211109/Aune001_19/IMG_0130.AVI","2021:10:26 17:14:22+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"131",131,131,"Rev1_20211109/Aune001_19/IMG_0131.AVI","2021:10:26 17:15:24+02:00","48.33285","AVI","30.000300003",1296,720,"MJPG"
"132",132,132,"Rev1_20211109/Aune001_19/IMG_0132.AVI","2021:10:26 17:15:42+02:00","16.833165","AVI","30.000300003",1296,720,"MJPG"
"133",133,133,"Rev1_20211109/Aune001_19/IMG_0133.AVI","2021:10:26 17:17:10+02:00","10.566561","AVI","30.000300003",1296,720,"MJPG"
