"","X","deployment","rev","num_files","first_file_date","last_file_date","num_days","Setup.date","Revision.date","Functioning.days","Timestamp_Issues","favourite","Comments","Plant_ID"
"54",217,"Aune011_64","Rev16",7,"7/12/22 12:04","16/12/22 13:19",9.052013889,"7/12/22","16/12/22",9,NA,"",NA,"Aune011"
"55",218,"Aune011_65","Rev16",41,"7/12/22 12:02","16/12/22 13:17",9.052268519,"7/12/22","16/12/22",9,NA,"",NA,"Aune011"
"56",219,"Aune012_66","Rev16",20,"7/12/22 12:07","16/12/22 13:14",9.046967593,"7/12/22","16/12/22",9,NA,"",NA,"Aune012"
"57",220,"Aune012_67","Rev16",44,"14/4/22 13:05","23/4/22 14:13",9.0471875,"7/12/22","16/12/22",9,NA,"",NA,"Aune012"
"58",221,"Aune013_36","Rev16",263,"7/12/22 13:15","16/12/22 14:25",9.049236111,"7/12/22","16/12/22",9,TRUE,"",NA,"Aune013"
"59",222,"Aune006_68","Rev17",7,"16/12/22 16:11","21/12/22 13:48",4.900787037,"16/12/22","21/12/22",5,NA,"",NA,"Aune006"
"60",223,"Aune006_69","Rev17",34,"16/12/22 14:09","21/12/22 14:49",5.027615741,"16/12/22","21/12/22",5,NA,"",NA,"Aune006"
"61",224,"Aune008_56","Rev17",5,"16/12/22 14:50","21/12/22 14:51",5.000856481,"16/12/22","21/12/22",5,NA,"",NA,"Aune008"
"62",225,"Aune009_54","Rev17",21,"16/12/22 14:12","21/12/22 14:51",5.026736111,"16/12/22","21/12/22",5,NA,"",NA,"Aune009"
"63",226,"Aune010_62","Rev17",7,"16/12/22 14:25","21/12/22 13:45",4.97224537,"16/12/22","21/12/22",5,NA,"",NA,"Aune010"
"64",227,"Aune010_63","Rev17",155,"16/12/22 1:12","21/12/22 1:51",5.027222222,"16/12/22","21/12/22",5,NA,"",NA,"Aune010"
"65",228,"Aune011_64","Rev17",13,"16/12/22 13:20","21/12/22 13:54",5.023680556,"16/12/22","21/12/22",5,NA,"",NA,"Aune011"
"66",229,"Aune011_65","Rev17",15,"16/12/22 13:20","21/12/22 13:52",5.022384259,"16/12/22","21/12/22",5,NA,"",NA,"Aune011"
"67",230,"Aune012_66","Rev17",54,"16/12/22 13:18","21/12/22 13:52",5.023587963,"16/12/22","21/12/22",5,NA,"",NA,"Aune012"
"68",231,"Aune012_67","Rev17",22,"16/12/22 13:16","21/12/22 13:50",5.023773148,"16/12/22","21/12/22",5,NA,"",NA,"Aune012"
"69",232,"Aune013_36","Rev17",45,"16/12/22 13:27","21/12/22 14:00",5.022893519,"16/12/22","21/12/22",5,NA,"",NA,"Aune013"
"70",233,"Aune019_34","Rev17",79,"16/12/22 14:41","21/12/22 15:14",5.022893519,"16/12/22","21/12/22",5,NA,"",NA,"Aune019"
"71",234,"Aune019_57","Rev17",77,"16/12/22 13:39","21/12/22 14:14",5.023935185,"16/12/22","21/12/22",5,NA,"",NA,"Aune019"
"72",235,"Aune006_68","Rev18",84,"21/12/22 13:52","12/1/23 12:27",21.94087963,"21/12/22","12/1/23",22,NA,"",NA,"Aune006"
"73",236,"Aune006_69","Rev18",86,"21/12/22 14:51","12/1/23 13:24",21.93928241,"21/12/22","12/1/23",22,NA,"",NA,"Aune006"
"74",237,"Aune009_54","Rev18",67,"21/12/22 14:52","12/1/23 13:20",21.93597222,"21/12/22","12/1/23",22,NA,"",NA,"Aune009"
"75",238,"Aune010_62","Rev18",17,"21/12/22 13:51","12/1/23 12:15",21.93340278,"21/12/22","12/1/23",22,NA,"",NA,"Aune010"
"76",239,"Aune010_63","Rev18",944,"21/12/22 1:52","12/1/23 0:18",21.9343287,"21/12/22","12/1/23",22,NA,"",NA,"Aune010"
"77",240,"Aune011_64","Rev18",16,"21/12/22 13:56","12/1/23 12:24",21.93587963,"21/12/22","12/1/23",22,NA,"",NA,"Aune011"
"78",241,"Aune011_65","Rev18",93,"21/12/22 13:54","12/1/23 12:22",21.93662037,"21/12/22","12/1/23",22,NA,"",NA,"Aune011"
"79",242,"Aune012_67","Rev18",117,"21/12/22 13:54","12/1/23 12:20",21.93458333,"21/12/22","12/1/23",22,NA,"",NA,"Aune012"
"80",243,"Aune013_36","Rev18",60,"21/12/22 14:01","12/1/23 12:33",21.93902778,"21/12/22","12/1/23",22,NA,"",NA,"Aune013"
"81",244,"Aune014_70","Rev18",79,"21/12/22 13:29","12/1/23 11:58",21.93743056,"21/12/22","12/1/23",22,NA,"",NA,"Aune014"
"82",245,"Aune014_71","Rev18",226,"21/12/22 22:26","10/1/23 3:08",19.19606481,"21/12/22","12/1/23",22,NA,"",NA,"Aune014"
"83",246,"Aune015_72","Rev18",19,"21/12/22 12:31","12/1/23 10:54",21.9330787,"21/12/22","12/1/23",22,NA,"",NA,"Aune015"
"84",247,"Aune015_73","Rev18",34,"21/12/22 12:29","12/1/23 10:55",21.93511574,"21/12/22","12/1/23",22,NA,"",NA,"Aune015"
"85",248,"Aune016_24","Rev18",323,"1/1/20 0:04","22/1/20 22:19",21.92724537,"21/12/22","12/1/23",22,NA,"",NA,"Aune016"
"86",249,"Aune017_03","Rev18",435,"21/12/22 13:41","8/1/23 21:22",18.3206713,"21/12/22","12/1/23",22,TRUE,"",NA,"Aune017"
"87",250,"Aune017_61","Rev18",129,"21/12/22 13:35","12/1/23 12:03",21.9362037,"21/12/22","12/1/23",22,NA,"",NA,"Aune017"
"88",251,"Aune018_56","Rev18",214,"21/12/22 14:52","12/1/23 13:36",21.94743056,"21/12/22","12/1/23",22,NA,"",NA,"Aune018"
"89",252,"Aune018_66","Rev18",32,"21/12/22 14:05","11/1/23 15:25",21.0555787,"21/12/22","12/1/23",22,NA,"",NA,"Aune018"
"90",253,"Aune019_34","Rev18",562,"21/12/22 15:15","8/1/23 16:30",18.0518287,"21/12/22","12/1/23",22,NA,"",NA,"Aune019"
"91",254,"Aune019_57","Rev18",376,"21/12/22 14:17","12/1/23 12:29",21.92506944,"21/12/22","12/1/23",22,NA,"",NA,"Aune019"
"92",255,"Aune006_68","Rev19",14,"12/1/23 12:28","19/1/23 11:02",6.940023148,"12/1/23","19/1/23",7,NA,"",NA,"Aune006"
"93",256,"Aune006_69","Rev19",11,"12/1/23 14:40","19/1/23 11:58",6.887083333,"12/1/23","19/1/23",7,NA,"",NA,"Aune006"
"94",257,"Aune009_54","Rev19",21,"12/1/23 13:25","19/1/23 11:57",6.938703704,"12/1/23","19/1/23",7,NA,"",NA,"Aune009"
"95",258,"Aune010_62","Rev19",22,"12/1/23 12:18","19/1/23 10:51",6.939513889,"12/1/23","19/1/23",7,NA,"",NA,"Aune010"
"96",259,"Aune010_63","Rev19",137,"12/1/23 0:19","18/1/23 22:52",6.939398148,"12/1/23","19/1/23",7,NA,"",NA,"Aune010"
"97",260,"Aune015_72","Rev19",1,"19/1/23 9:57","19/1/23 9:57",0,"12/1/23","19/1/23",7,NA,"",NA,"Aune015"
"98",261,"Aune015_73","Rev19",4,"12/1/23 10:57","19/1/23 9:58",6.959050926,"12/1/23","19/1/23",7,NA,"",NA,"Aune015"
"99",262,"Aune017_03","Rev19",456,"12/1/23 12:12","18/1/23 15:16",6.127592593,"12/1/23","19/1/23",7,NA,"",NA,"Aune017"
"100",263,"Aune017_61","Rev19",487,"12/1/23 12:06","18/1/23 16:25",6.179837963,"12/1/23","19/1/23",7,NA,"",NA,"Aune017"
"101",264,"Aune018_56","Rev19",35,"12/1/23 13:38","19/1/23 12:07",6.93650463,"12/1/23","19/1/23",7,NA,"",NA,"Aune018"
"102",265,"Aune018_66","Rev19",3,"12/1/23 12:32","19/1/23 10:59",6.935787037,"12/1/23","19/1/23",7,NA,"",NA,"Aune018"
"103",266,"Aune019_34","Rev19",30,"12/1/23 16:10","19/1/23 12:00",6.826967593,"12/1/23","19/1/23",7,NA,"",NA,"Aune019"
"104",267,"Aune019_57","Rev19",22,"12/1/23 12:33","19/1/23 11:02",6.936805556,"12/1/23","19/1/23",7,NA,"",NA,"Aune019"
"105",268,"Aune006_68","Rev20",110,"19/1/23 11:03","26/1/23 12:39",7.066481481,"19/1/23","26/1/23",7,NA,"",NA,"Aune006"
"106",269,"Aune006_69","Rev20",35,"19/1/23 12:00","26/1/23 13:35",7.066412037,"19/1/23","26/1/23",7,NA,"",NA,"Aune006"
"107",270,"Aune009_54","Rev20",31,"19/1/23 11:58","26/1/23 13:34",7.06650463,"19/1/23","26/1/23",7,NA,"",NA,"Aune009"
"108",271,"Aune010_62","Rev20",12,"19/1/23 10:53","26/1/23 12:26",7.064884259,"19/1/23","26/1/23",7,NA,"",NA,"Aune010"
"109",272,"Aune010_63","Rev20",152,"18/1/23 22:54","26/1/23 0:29",7.066273148,"19/1/23","26/1/23",7,NA,"",NA,"Aune010"
"110",273,"Aune015_72","Rev20",6,"19/1/23 10:00","26/1/23 11:18",7.054282407,"19/1/23","26/1/23",7,NA,"",NA,"Aune015"
"111",274,"Aune015_73","Rev20",14,"19/1/23 10:00","26/1/23 11:18",7.054074074,"19/1/23","26/1/23",7,NA,"",NA,"Aune015"
"112",275,"Aune017_03","Rev20",225,"19/1/23 10:59","26/1/23 12:27",7.060925926,"19/1/23","26/1/23",7,NA,"",NA,"Aune017"
"113",276,"Aune017_61","Rev20",325,"19/1/23 10:53","26/1/23 12:21",7.06099537,"19/1/23","26/1/23",7,NA,"",NA,"Aune017"
"114",277,"Aune018_56","Rev20",28,"19/1/23 12:09","26/1/23 13:43",7.06537037,"19/1/23","26/1/23",7,NA,"",NA,"Aune018"
"115",278,"Aune018_66","Rev20",4,"23/1/23 11:51","25/1/23 9:13",1.890115741,"19/1/23","26/1/23",7,NA,"",NA,"Aune018"
"116",279,"Aune019_34","Rev20",31,"19/1/23 12:01","26/1/23 13:43",7.070787037,"19/1/23","26/1/23",7,NA,"",NA,"Aune019"
"117",280,"Aune019_57","Rev20",11,"19/1/23 11:03","26/1/23 12:43",7.069444444,"19/1/23","26/1/23",7,NA,"",NA,"Aune019"
"118",281,"Aune006_68","Rev21",61,"26/1/23 12:41","2/2/23 11:49",6.963657407,"19/1/23","26/1/23",7,NA,"",NA,"Aune006"
"119",282,"Aune006_69","Rev21",29,"26/1/23 13:37","2/2/23 12:43",6.962569444,"26/1/23","2/2/23",7,NA,"",NA,"Aune006"
"120",283,"Aune009_54","Rev21",25,"26/1/23 13:36","2/2/23 12:43",6.963240741,"26/1/23","2/2/23",7,NA,"",NA,"Aune009"
"121",284,"Aune010_62","Rev21",8,"26/1/23 12:29","2/2/23 11:33",6.961064815,"26/1/23","2/2/23",7,NA,"",NA,"Aune010"
"122",285,"Aune010_63","Rev21",121,"26/1/23 0:30","1/2/23 23:35",6.961736111,"26/1/23","2/2/23",7,NA,"",NA,"Aune010"
"123",286,"Aune017_03","Rev21",194,"26/1/23 12:29","2/2/23 11:05",6.941643519,"26/1/23","2/2/23",7,NA,"",NA,"Aune017"
"124",287,"Aune017_61","Rev21",116,"26/1/23 12:23","2/2/23 10:58",6.94087963,"26/1/23","2/2/23",7,NA,"",NA,"Aune017"
"125",288,"Aune018_56","Rev21",26,"26/1/23 13:44","2/2/23 12:53",6.964583333,"26/1/23","2/2/23",7,NA,"",NA,"Aune018"
"126",289,"Aune018_66","Rev21",2,"26/1/23 12:36","2/2/23 11:45",6.964375,"26/1/23","2/2/23",7,NA,"",NA,"Aune018"
"127",290,"Aune019_34","Rev21",49,"26/1/23 13:45","2/2/23 12:48",6.960462963,"26/1/23","2/2/23",7,NA,"",NA,"Aune019"
"128",291,"Aune019_57","Rev21",17,"26/1/23 12:47","1/2/23 18:34",6.241180556,"26/1/23","2/2/23",7,NA,"",NA,"Aune019"
"129",292,"Aune017_03","Rev22",94,"2/2/23 11:06","8/2/23 14:05",6.12400463,"2/2/23","8/2/23",6,NA,"",NA,"Aune017"
"130",293,"Aune017_61","Rev22",70,"2/2/23 10:59","8/2/23 13:58",6.124212963,"2/2/23","8/2/23",6,NA,"",NA,"Aune017"
