Deployment_ID;Revision_ID;Videos ;First video;Last video;Days;Videos/days;Setup date;Revision date;Days in field;Checked;Battery;Timestamp_Issues;Animal triggered;file_path;species;favourite;Comments
Sasp002_03;rev_06;3;12/1/22;26/1/22;13.85;0.22;12/1/22;26/1/22;14;;100;;;;;;
Sasp002_03;rev_07;13;26/1/22;9/2/22;14.01;0.93;26/1/22;9/2/22;14;;100;;;;;;
Sasp002_03;rev_08;10;9/2/22;22/2/22;12.96;0.77;9/2/22;22/2/22;13;;100;;;;;;
Sasp002_03;rev_09;10;22/2/22;17/3/22;23.05;0.43;22/2/22;17/3/22;23;;100;;;;;;
Sasp003_04;Rev_01;563;21/10/21;31/10/21;9.60;58.62;21/10/21;3/11/21;13;;100;;;;;;
Sasp003_04;rev_02;531;3/11/21;6/11/21;2.96;179.46;3/11/21;18/11/21;15;;91;;;;;;
Sasp003_04;rev_03;373;18/11/21;18/11/21;0.19;1967.47;18/11/21;1/12/21;13;;54;;;;;;
Sasp003_04;rev_04;558;1/12/21;8/12/21;7.15;78.00;1/12/21;15/12/21;14;;31;;;;;;
Sasp003_04;rev_05;443;15/12/21;16/12/21;1.19;372.83;15/12/21;12/1/22;28;;76;;;;;;
Sasp003_04;rev_06;482;12/1/22;13/1/22;1.26;383.26;12/1/22;26/1/22;14;;13;;;;;;
Sasp003_04;rev_07;375;26/1/22;26/1/22;0.20;1908.13;26/1/22;9/2/22;14;;87;;;;;;
Sasp003_04;rev_08;229;9/2/22;22/2/22;12.96;17.67;9/2/22;22/2/22;13;;84;;;;;;
Sasp003_04;rev_09;573;22/2/22;7/3/22;13.29;43.11;22/2/22;17/3/22;23;;67;;;;;;
Sasp003_04;rev_10;457;17/3/22;21/3/22;4.13;110.56;17/3/22;29/3/22;12;;50;;;;;;
Sasp004_05;rev_01;335;21/10/21;3/11/21;13.02;25.72;21/10/21;3/11/21;13;;89;T;;;;;
Sasp004_05;rev_02;557;3/11/21;13/11/21;10.02;55.60;3/11/21;18/11/21;15;;70;T;;;;;
Sasp004_05;rev_03;374;18/11/21;30/11/21;12.16;30.75;18/11/21;1/12/21;13;;57;;;;;;
Sasp004_05;rev_04;31;1/12/21;14/12/21;12.98;2.39;1/12/21;15/12/21;14;;53;;;;;;
Sasp004_05;rev_05;456;15/12/21;16/12/21;1.22;372.46;15/12/21;12/1/22;28;;20;;;;;;
Sasp004_05;rev_06;471;12/1/22;14/1/22;2.20;213.89;12/1/22;26/1/22;14;;100;;;;;;
Sasp004_05;rev_07;514;26/1/22;28/1/22;2.05;250.73;26/1/22;9/2/22;14;;74;;;;;;
Sasp004_05;rev_08;489;9/2/22;13/2/22;4.20;116.33;9/2/22;22/2/22;13;;51;;;;;;
Sasp004_05;rev_09;347;22/2/22;22/2/22;0.18;1975.02;22/2/22;17/3/22;23;;0;;;;;;
Sasp004_05;rev_10;471;17/3/22;19/3/22;2.00;235.99;17/3/22;29/3/22;12;;67;;;;;;
Sasp005_07;rev_01;396;21/10/21;3/11/21;13.46;29.43;21/10/21;3/11/21;13;;97;;;;;;
Sasp005_07;rev_02;143;7/11/21;18/11/21;11.02;12.98;3/11/21;18/11/21;15;;97;;;;;;
Sasp005_07;rev_03;103;18/11/21;1/12/21;12.97;7.94;18/11/21;1/12/21;13;;91;;;;;;
Sasp005_07;rev_04;24;1/12/21;12/12/21;10.66;2.25;1/12/21;15/12/21;14;;0;;;;;;
Sasp005_07;rev_05;486;15/12/21;29/12/21;14.27;34.07;15/12/21;12/1/22;28;;100;;;;;;
Sasp005_07;rev_06;585;12/1/22;20/1/22;8.32;70.31;12/1/22;26/1/22;14;;86;;;;;;
Sasp005_07;rev_07;464;26/1/22;1/2/22;6.24;74.34;26/1/22;9/2/22;14;;64;;;;;;
Sasp005_07;rev_08;517;9/2/22;14/2/22;5.27;98.19;9/2/22;22/2/22;13;;35;;;;;;
Sasp005_07;rev_09;351;22/2/22;22/2/22;0.37;941.23;22/2/22;17/3/22;23;;100;;;;;;
Sasp006_10;rev_01;61;21/10/21;3/11/21;13.01;4.69;3/11/21;18/11/21;15;;97;;;;;;
Sasp006_10;rev_02;90;3/11/21;3/11/21;0.08;1070.04;3/11/21;18/11/21;15;;0;;;;;;
Sasp006_10;rev_03;192;18/11/21;18/11/21;0.10;1933.43;18/11/21;1/12/21;13;;12;;;;;;
Sasp006_10;rev_04;428;1/12/21;5/12/21;4.03;106.13;1/12/21;15/12/21;14;;100;;;;;;
Sasp006_10;rev_05;490;15/12/21;29/12/21;13.90;35.24;15/12/21;12/1/22;28;;85;;;;;;
Sasp006_10;rev_06;22;12/1/22;26/1/22;14.09;1.56;12/1/22;26/1/22;14;;0;;;;;;
Sasp006_10;rev_07;418;26/1/22;9/2/22;13.89;30.09;26/1/22;9/2/22;14;;68;;;;;;
Sasp006_10;rev_08;467;9/2/22;22/2/22;12.96;36.02;9/2/22;22/2/22;13;;51;;;;;;
Sasp006_10;rev_09;464;22/2/22;27/2/22;5.26;88.14;22/2/22;17/3/22;23;;4;;;;;;
Sasp006_10;rev_10;503;17/3/22;20/3/22;2.95;170.47;17/3/22;29/3/22;12;;86;;;;;;
