"","Plant_ID","effort_ind"
"248","Plen308","  5.26"
"249","Plen309","  0.73"
"250","Plen310","  3.76"
"251","Plen311","  0.97"
"252","Plen312","  1.35"
"253","Plen313","  2.20"
"254","Plen314"," 11.91"
"255","Plen315","  7.51"
"256","Plen316","  0.91"
"257","Plen317","  1.65"
"258","Plen318","  8.57"
"259","Plen319","  6.82"
"260","Plen320","  5.43"
"261","Plen321","  3.84"
"262","Plen322","  2.77"
"263","Plen323","  4.70"
"264","Plen324","  2.44"
"265","Plen325","  0.56"
"266","Plen326","  5.11"
"267","Plen327","  6.97"
"268","Plen328","  0.17"
"269","Plen329","  1.68"
"270","Plen330","  3.23"
"271","Plen331","  1.10"
"272","Plen332","  8.30"
"273","Plen333","  1.06"
"274","Plen334","  1.00"
"275","Plen335","  1.91"
"276","Plen336","  7.20"
"277","Plen337"," 18.49"
"278","Plen338","  5.69"
"279","Plen339","  0.85"
"280","Plen340","  4.69"
"281","Plen382","  0.56"
"282","Plen383","  2.21"
"283","Ppin001"," 16.08"
"284","Ppin002","148.38"
"285","Ppin003","130.87"
"286","Ppin004"," 86.78"
"287","Ppin005"," 75.49"
"288","Rper001","113.82"
"289","Rper002"," 64.36"
"290","Rper003"," 45.79"
"291","Rulm001"," 99.51"
"292","Rulm002","118.08"
"293","Rulm003"," 59.96"
"294","Rulm004"," 78.67"
"295","Rulm005","111.86"
"296","Rulm006"," 15.94"
"297","Rulm007"," 45.61"
"298","Rulm008"," 70.62"
"299","Rulm009"," 87.76"
"300","Rulm010"," 18.39"
"301","Rulm011"," 41.91"
"302","Rulm012","117.49"
"303","Rulm013"," 85.19"
"304","Rulm014"," 93.83"
"305","Rulm015","122.36"
"306","Rulm016"," 92.84"
"307","Rulm017"," 93.19"
"308","Rulm018"," 80.71"
"309","Rulm019"," 55.18"
"310","Rulm020"," 12.05"
"311","Rulm021"," 26.98"
"312","Rulm022"," 54.33"
"313","Rulm023"," 72.05"
"314","Rulm024"," 32.99"
"315","Rulm025"," 50.87"
"316","Rulm026"," 90.49"
"317","Rulm027"," 70.88"
"318","Rulm032"," 77.82"
"319","Rulm036"," 48.44"
"320","Rulm043"," 51.42"
"321","Rulm044"," 42.73"
"322","Rulm045"," 61.67"
"323","Rulm046"," 39.61"
"324","Rulm047"," 55.70"
"325","Rulm048"," 21.61"
"326","Sasp001","167.89"
"327","Sasp002","131.45"
"328","Sasp003"," 65.60"
"329","Sasp004","120.20"
"330","Sasp005"," 82.58"
"331","Sasp006"," 80.27"
"332","Sasp007","139.03"
"333","Sasp008"," 30.61"
"334","Sasp009","103.78"
"335","Sasp010"," 52.27"
"336","Sasp011"," 78.89"
"337","Sasp012"," 31.96"
"338","Sasp013"," 69.88"
"339","Sasp014"," 32.69"
