deployment;rev;num_files;first_file_date;last_file_date;num_days;Setup date;Revision date;Functioning days;Timestamp_Issues;favourite;Comments;;;
Sasp007_11;Rev27;316;21/12/22 12:01;29/12/22 15:48;8.157615741;12/1/23;19/1/23;7;;;;;;
Sasp009_10;Rev27;514;21/12/22 12:45;12/1/23 11:27;21.9462963;12/1/23;19/1/23;7;;;;;;
Sasp011_15;Rev27;453;7/1/23 12:01;26/1/23 16:15;19.1768287;12/1/23;19/1/23;7;;;;;;
Sasp013_18;Rev27;432;7/12/22 11:40;12/1/23 10:43;35.96037037;12/1/23;19/1/23;7;;;;;;
Sasp007_11;Rev28;179;12/1/23 10:36;19/1/23 10:03;6.977037037;19/1/23;26/1/23;7;;;;;;
Sasp009_10;Rev28;245;12/1/23 13:15;19/1/23 9:26;6.84099537;19/1/23;26/1/23;7;;;;;;
Sasp011_15;Rev28;346;12/1/23 11:32;17/1/23 14:29;5.122939815;19/1/23;26/1/23;7;;;;;;
Sasp007_11;Rev29;397;19/1/23 10:07;22/1/23 13:02;3.121898148;26/1/23;2/2/23;7;;;;;;
Sasp009_10;Rev29;490;1/1/20 0:02;6/1/20 3:37;5.14974537;26/1/23;2/2/23;7;;;;;;
Sasp011_15;Rev29;436;19/1/23 9:10;20/1/23 14:17;1.213217593;26/1/23;2/2/23;7;;;;;;
Sasp007_11;Rev31;153;2/2/23 16:57;8/2/23 12:47;5.826157407;26/1/23;8/2/23;13;;;;;;
Sasp009_10;Rev31;85;15/1/20 0:17;21/1/20 2:50;6.106481481;26/1/23;8/2/23;13;;;;;;
Sasp011_15;Rev31;452;1/1/20 0:00;2/1/20 3:45;1.156527778;26/1/23;8/2/23;13;;;;;;
Sasp007_11;Rev30;386;26/1/23 14:16;28/1/23 17:14;2.123958333;26/1/23;2/2/23;7;;;;;;
Sasp009_10;Rev30;357;8/1/20 0:58;15/1/20 0:16;6.970509259;26/1/23;2/2/23;7;;;;;;
