deployment;rev;num_files;first_file_date;last_file_date;num_days;Setup date;Revision date;Functioning days;Checked;Battery;Timestamp_Issues;favourite;Comments
Aspa011_28;Rev18;41;1/1/18 6:53;6/1/18 4:17;4.8915625;20/10/22;27/10/22;7;;;;;
Aspa014_31;Rev18;52;20/10/22 12:06;27/10/22 14:31;7.100231481;20/10/22;27/10/22;7;;;;;
Aspa015_32;Rev18;114;20/10/22 12:11;27/10/22 14:32;7.098125;20/10/22;27/10/22;7;;;;;
Aspa016_35;Rev18;9;20/10/22 10:33;27/10/22 9:50;6.969907407;20/10/22;27/10/22;7;;;;;
Aspa017_36;Rev18;14;20/10/22 10:35;27/10/22 9:51;6.969652778;20/10/22;27/10/22;7;;;;;
Aspa018_37;Rev18;58;21/10/22 13:35;27/10/22 9:53;5.846134259;20/10/22;27/10/22;7;;;;;
Aspa019_38;Rev18;68;20/10/22 10:40;27/10/22 9:55;6.968587963;20/10/22;27/10/22;7;;;;;
Aspa020_39;Rev18;235;20/10/22 10:35;27/10/22 9:49;6.96849537;20/10/22;27/10/22;7;;;TRUE;;
Aspa014_31;Rev19;22;27/10/22 14:31;3/11/22 15:24;7.078078704;27/10/22;3/11/22;7;;;;;
Aspa015_32;Rev19;156;27/10/22 14:33;3/11/22 15:26;7.078263889;27/10/22;3/11/22;7;;;;;
Aspa016_35;Rev19;23;27/10/22 9:50;3/11/22 10:25;7.065763889;27/10/22;3/11/22;7;;;;;
Aspa017_36;Rev19;342;27/10/22 9:52;3/11/22 10:27;7.065439815;27/10/22;3/11/22;7;;;;;
Aspa018_37;Rev19;61;27/10/22 9:54;3/11/22 10:30;7.066412037;27/10/22;3/11/22;7;;;;;
Aspa019_38;Rev19;457;27/10/22 9:56;3/11/22 10:35;7.068796296;27/10/22;3/11/22;7;;;;;
Aspa025_28;Rev19;30;1/1/18 0:00;29/10/22 20:06;1762.795972;27/10/22;3/11/22;7;;;TRUE;;
Aspa027_02;Rev19;86;27/10/22 15:34;3/11/22 10:25;6.826736111;27/10/22;3/11/22;7;;;;;
Aspa014_31;Rev20;35;3/11/22 15:24;9/11/22 14:15;5.951759259;3/11/22;9/11/22;6;;;;;
Aspa015_32;Rev20;459;3/11/22 15:28;9/11/22 14:18;5.951643519;3/11/22;9/11/22;6;;;;;
Aspa016_35;Rev20;17;3/11/22 10:30;9/11/22 10:54;6.017013889;3/11/22;9/11/22;6;;;;;
Aspa018_37;Rev20;57;3/11/22 13:01;9/11/22 10:58;5.914583333;3/11/22;9/11/22;6;;;;;
Aspa020_39;Rev20;149;3/11/22 10:31;9/11/22 10:54;6.016203704;3/11/22;9/11/22;6;;;;;
Aspa015_32;Rev21;129;9/11/22 14:19;15/11/22 10:44;5.850509259;9/11/22;15/11/22;6;;;;;
Aspa016_35;Rev21;15;9/11/22 10:56;15/11/22 16:24;6.227847222;9/11/22;15/11/22;6;;;;;
Aspa018_37;Rev21;45;9/11/22 11:01;15/11/22 16:26;6.225868056;9/11/22;15/11/22;6;;;;;
Aspa020_39;Rev21;76;9/11/22 10:56;15/11/22 16:21;6.225717593;9/11/22;15/11/22;6;;;;;
Aspa025_39;Rev21;9;9/11/22 10:00;14/11/22 12:51;5.118587963;9/11/22;15/11/22;6;;;;;
Aspa027_02;Rev21;39;9/11/22 10:57;15/11/22 16:25;6.227361111;9/11/22;15/11/22;6;;;;;
Aspa028_38;Rev21;58;9/11/22 11:06;15/11/22 16:31;6.225231481;9/11/22;15/11/22;6;;;;;
Aspa014_31;Rev22;37;15/11/22 10:40;25/11/22 12:56;10.09414352;15/11/22;25/11/22;10;;;;;
Aspa015_32;Rev22;207;15/11/22 10:44;25/11/22 12:59;10.09380787;15/11/22;25/11/22;10;;;;;
Aspa016_35;Rev22;7;15/11/22 16:25;25/11/22 10:33;9.755115741;15/11/22;25/11/22;10;;;;;
Aspa018_37;Rev22;34;15/11/22 16:27;25/11/22 10:35;9.755972222;15/11/22;25/11/22;10;;;;;
Aspa020_61;Rev22;59;16/11/22 10:57;25/11/22 10:32;8.982476852;15/11/22;25/11/22;10;;;;;
Aspa025_28;Rev22;48;15/11/22 15:31;25/11/22 9:37;9.754166667;15/11/22;25/11/22;10;;;;;
Aspa027_02;Rev22;32;15/11/22 23:21;25/11/22 10:33;9.466157407;15/11/22;25/11/22;10;;;;;
Aspa028_38;Rev22;56;15/11/22 16:31;25/11/22 10:41;9.756759259;15/11/22;25/11/22;10;;;;;
Aspa016_35;Rev23;14;25/11/22 10:34;30/11/22 10:59;5.017337963;25/11/22;30/11/22;5;;;;;
Aspa020_61;Rev23;195;25/11/22 10:33;30/11/22 10:55;5.015069444;25/11/22;30/11/22;5;;;;;
Aspa025_28;Rev23;29;25/11/22 9:40;30/11/22 10:04;5.016643519;25/11/22;30/11/22;5;;;;;
Aspa027_02;Rev23;24;25/11/22 10:34;30/11/22 10:59;5.017592593;25/11/22;30/11/22;5;;;;;
