deployment;rev;num_files;first_file_date;last_file_date;num_days;Setup date;Revision date;Functioning days;Timestamp_Issues;favourite;Comments;
Rulm027_27;Rev13;43;8/9/22 13:18;14/9/22 11:44;5.935347222;8/9/22;14/9/22;6;;;;
Rulm032_06;Rev13;71;8/9/22 9:52;14/9/22 8:52;5.958425926;8/9/22;14/9/22;6;;;;
Rulm036_10;Rev13;65;8/9/22 11:02;14/9/22 10:23;5.972592593;8/9/22;14/9/22;6;;;;
Rulm043_23;Rev13;61;8/9/22 17:36;14/9/22 11:33;5.747314815;8/9/22;14/9/22;6;;;;
Rulm044_24;Rev13;439;8/9/22 13:08;9/9/22 12:51;0.988055556;8/9/22;14/9/22;6;;;;
Rulm045_19;Rev13;130;8/9/22 12:28;14/9/22 11:54;5.975787037;8/9/22;14/9/22;6;;;;
Rulm046_20;Rev13;368;8/9/22 12:54;14/9/22 12:03;5.96462963;8/9/22;14/9/22;6;;;;
Rulm047_21;Rev13;33;8/9/22 12:37;14/9/22 11:57;5.972152778;8/9/22;14/9/22;6;;;;
Rulm048_25;Rev13;149;16/1/20 0:47;16/1/20 2:52;0.086759259;8/9/22;14/9/22;6;TRUE;;;
Rulm001_01;Rev14;131;14/9/22 8:41;22/9/22 9:22;8.028587963;14/9/22;22/9/22;8;;;;
Rulm002_02;Rev14;181;14/9/22 8:45;22/9/22 9:27;8.029097222;14/9/22;22/9/22;8;;;;
Rulm003_03;Rev14;339;14/9/22 8:45;22/9/22 9:27;8.029467593;14/9/22;22/9/22;8;;;;
Rulm004_04;Rev14;78;14/9/22 8:51;21/9/22 14:00;7.214884259;14/9/22;22/9/22;8;;;;
Rulm005_05;Rev14;25;14/9/22 8:52;21/9/22 15:15;7.266111111;14/9/22;22/9/22;8;;;;
Rulm008_08;Rev14;85;14/9/22 10:19;22/9/22 10:01;7.987777778;14/9/22;22/9/22;8;;;;
Rulm009_09;Rev14;29;14/9/22 14:32;22/9/22 9:58;7.810277778;14/9/22;22/9/22;8;;;;
Rulm012_12;Rev14;117;14/9/22 10:25;22/9/22 10:13;7.991365741;14/9/22;22/9/22;8;;;;
Rulm013_13;Rev14;138;14/9/22 10:32;22/9/22 10:18;7.990231481;14/9/22;22/9/22;8;;;;
Rulm014_14;Rev14;548;14/9/22 10:34;17/9/22 10:32;2.999259259;14/9/22;22/9/22;8;;;;
Rulm015_15;Rev14;241;14/9/22 10:54;22/9/22 10:52;7.999166667;14/9/22;22/9/22;8;;;;
Rulm016_16;Rev14;205;14/9/22 22:56;22/9/22 22:54;7.998541667;14/9/22;22/9/22;8;;;;
Rulm017_17;Rev14;174;14/9/22 11:03;22/9/22 10:58;7.996666667;14/9/22;22/9/22;8;;;;
Rulm019_34;Rev14;11;14/9/22 12:01;22/9/22 14:34;8.106851852;14/9/22;22/9/22;8;;;;
Rulm026_26;Rev14;182;14/9/22 11:49;22/9/22 14:25;8.108634259;14/9/22;22/9/22;8;;;;
Rulm027_27;Rev14;170;14/9/22 11:47;22/9/22 14:28;8.112222222;14/9/22;22/9/22;8;;;;
Rulm032_06;Rev14;36;14/9/22 8:53;22/9/22 9:32;8.027175926;14/9/22;22/9/22;8;;;;
Rulm036_10;Rev14;402;14/9/22 10:25;17/9/22 16:32;3.254884259;14/9/22;22/9/22;8;;;;
Rulm043_23;Rev14;42;14/9/22 16:07;22/9/22 14:20;7.925648148;14/9/22;22/9/22;8;;;;
Rulm044_24;Rev14;482;14/9/22 11:37;22/9/22 13:56;8.097083333;14/9/22;22/9/22;8;;;;
Rulm045_19;Rev14;271;14/9/22 11:55;22/9/22 14:32;8.109074074;14/9/22;22/9/22;8;;;;
Rulm047_21;Rev14;108;14/9/22 11:59;22/9/22 14:33;8.1075;14/9/22;22/9/22;8;;;;
Rulm048_25;Rev14;577;21/1/20 23:08;29/1/20 2:36;7.144791667;14/9/22;22/9/22;8;TRUE;;;
Rulm001_01;Rev15;15;22/9/22 9:23;28/9/22 12:10;6.115972222;22/9/22;28/9/22;6;;;;
Rulm003_03;Rev15;547;22/9/22 9:28;27/9/22 16:04;5.274907407;22/9/22;28/9/22;6;;;Carrillo de pilas fuera;
Rulm004_04;Rev15;50;22/9/22 9:32;28/9/22 12:19;6.116203704;22/9/22;28/9/22;6;;;;
Rulm005_05;Rev15;16;22/9/22 9:36;28/9/22 12:22;6.115717593;22/9/22;28/9/22;6;;;;
Rulm019_34;Rev15;7;22/9/22 14:36;28/9/22 13:44;5.963703704;22/9/22;28/9/22;6;;;;
Rulm026_26;Rev15;214;22/9/22 14:35;28/9/22 13:36;5.95900463;22/9/22;28/9/22;6;;;;
Rulm032_06;Rev15;111;22/9/22 9:33;28/9/22 12:21;6.116666667;22/9/22;28/9/22;6;;;;
Rulm045_19;Rev15;106;22/9/22 14:32;28/9/22 13:33;5.958888889;22/9/22;28/9/22;6;;;;
Rulm001_01;Rev16;264;28/9/22 18:22;5/10/22 13:09;6.782777778;28/9/22;5/10/22;7;;;;
Rulm002_02;Rev16;354;28/9/22 12:18;5/10/22 17:32;7.218310185;28/9/22;6/10/22;7;;;;
Rulm004_04;Rev16;484;28/9/22 12:21;5/10/22 17:44;7.224351852;28/9/22;7/10/22;7;;;;
Rulm005_05;Rev16;162;28/9/22 12:24;5/10/22 17:47;7.224513889;28/9/22;8/10/22;7;;;;
Rulm032_06;Rev16;90;28/9/22 12:22;5/10/22 17:49;7.226712963;28/9/22;9/10/22;7;;;;
