RootFolder,File,RelativePath,DateTime,DeleteFlag,Behaviour,Sex,Sp1,Count1,Sp2,Count2,Sp3,Count3,Juvenile,Favourite,Obs,Behaviour2,
indet,IMG_0049.AVI,SUMHAL_YR1\Joxy\Rev1_20220113\Joxy002_11, 2023-04-18 12:29:29,false,walking,,orictolagus cuniculus,0,,0,,0,false,true,,,
indet,IMG_0052.AVI,SUMHAL_YR1\Joxy\Rev1_20220113\Joxy003_08, 2023-04-18 12:29:29,false,walking,,sus scrofa,0,,0,,0,false,true,,,
indet,IMG_0078.AVI,SUMHAL_YR1\Joxy\Rev1_20220113\Joxy003_08, 2023-04-18 12:29:29,false,walking,,-,0,,0,,0,false,false,,,
indet,01050017.AVI,SUMHAL_YR1\Joxy\Rev1_20220113\Joxy012_50, 2023-04-18 12:29:29,false,walking,,cervus elaphus,0,,0,,0,false,false,,,
indet,01050019.AVI,SUMHAL_YR1\Joxy\Rev1_20220113\Joxy012_50, 2023-04-18 12:29:29,false,walking,,cervus elaphus,0,,0,,0,false,false,,,
indet,01050020.AVI,SUMHAL_YR1\Joxy\Rev1_20220113\Joxy012_50, 2023-04-18 12:29:29,false,walking,,cervus elaphus,0,,0,,0,false,false,,,
indet,01050021.AVI,SUMHAL_YR1\Joxy\Rev1_20220113\Joxy012_50, 2023-04-18 12:29:29,false,walking,,cervus elaphus,0,,0,,0,false,false,,,
indet,01050022.AVI,SUMHAL_YR1\Joxy\Rev1_20220113\Joxy012_50, 2023-04-18 12:29:29,false,walking,,cervus elaphus,0,,0,,0,false,false,,,
indet,01050023.AVI,SUMHAL_YR1\Joxy\Rev1_20220113\Joxy012_50, 2023-04-18 12:29:29,false,walking,,cervus elaphus,0,,0,,0,false,false,,,
indet,01050024.AVI,SUMHAL_YR1\Joxy\Rev1_20220113\Joxy012_50, 2023-04-18 12:29:29,false,walking,,cervus elaphus,0,,0,,0,false,false,,,
indet,01050025.AVI,SUMHAL_YR1\Joxy\Rev1_20220113\Joxy012_50, 2023-04-18 12:29:29,false,walking,,cervus elaphus,0,,0,,0,false,false,,,
indet,01050026.AVI,SUMHAL_YR1\Joxy\Rev1_20220113\Joxy012_50, 2023-04-18 12:29:29,false,walking,,cervus elaphus,0,,0,,0,false,false,,,
indet,01200299.AVI,SUMHAL_YR1\Joxy\Rev2_20220131\Joxy013_49, 2023-04-18 12:29:29,false,visits (using plant),,turdus merula,0,,0,,0,false,false,,,
indet,IMG_0015.AVI,SUMHAL_YR1\Joxy\Rev4_20220329\Joxy006_22, 2023-04-18 12:29:29,false,visits (using plant),,saxicola rubicola,0,sylvia undata,0,,0,false,true,saxicola? + undata,visits (using plant),
indet,IMG_0350.AVI,SUMHAL_YR1\Joxy\Rev5_20220503\Joxy001_21, 2023-04-18 12:29:29,false,,,?,0,,0,,0,false,false,,,
indet,04020019.AVI,SUMHAL_YR1\Joxy\Rev5_20220503\Joxy010_51, 2023-04-18 12:29:29,false,searching for food,,sylvia melanocephala,0,,0,,0,false,true,,,
indet,IMG_0028.AVI,SUMHAL_YR1\Myrtus\Rev_5_20211201\Mcom001, 2023-04-18 12:29:29,false,,,-,0,,0,,0,false,false,,,
indet,IMG_0151.AVI,SUMHAL_YR1\Myrtus\Rev_7_20220112\Mcom008_26, 2023-04-18 12:29:29,false,eating,,turdus merula,0,,0,,0,false,true,,,
indet,IMG_0200.AVI,SUMHAL_YR1\Olea\Rev_2_20211121\Oeur_001_09, 2023-04-18 12:29:29,false,eating,,?,0,,0,,0,false,true,turdus merula,,
indet,IMG_0448.AVI,SUMHAL_YR1\Olea\Rev_2_20211121\Oeur_001_09, 2023-04-18 12:29:29,false,eating,,turdus iliacus,0,,0,,0,false,true,t. iliacus,,
indet,IMG_0459.AVI,SUMHAL_YR1\Olea\Rev_2_20211121\Oeur_001_09, 2023-04-18 12:29:29,false,eating,,turdus philomelos,0,,0,,0,false,false,,,
indet,IMG_0093.AVI,SUMHAL_YR1\Olea\Rev_5_20220116\Oeur_002_15, 2023-04-18 12:29:29,false,visits (using plant),,turdus philomelos,0,,0,,0,false,false,,,
indet,IMG_0277.AVI,SUMHAL_YR1\Olea\Rev_5_20220116\Oeur_002_15, 2023-04-18 12:29:29,false,visits (using plant),,?,0,,0,,0,false,false,,,
indet,IMG_0337.AVI,SUMHAL_YR1\Olea\Rev_5_20220116\Oeur_002_15, 2023-04-18 12:29:29,false,searching for food,,?,0,,0,,0,false,true,,,
indet,IMG_0339.AVI,SUMHAL_YR1\Olea\Rev_5_20220116\Oeur_002_15, 2023-04-18 12:29:29,false,eating,,turdus philomelos,0,,0,,0,false,true,,,
indet,IMG_0063.AVI,SUMHAL_YR1\Olea\Rev_5_20220116\Oeur_005_17, 2023-04-18 12:29:29,false,searching for food,,sylvia melanocephala,0,,0,,0,false,true,,,
indet,IMG_0003.AVI,SUMHAL_YR1\Pinus\Rev10_20220317\Ppin004_47, 2023-04-18 12:29:29,false,visits (using plant),,erithacus rubecula,0,,0,,0,false,true,,,
indet,IMG_0003.MP4,SUMHAL_YR1\Pinus\Rev1_20211021\ppin_002_29, 2023-04-18 12:29:29,false,walking,,cervus elaphus,0,,0,,0,false,false,,,
indet,IMG_0007.MP4,SUMHAL_YR1\Pinus\Rev1_20211021\ppin_002_29, 2023-04-18 12:29:29,false,walking,,genetta genetta,0,,0,,0,false,false,,,
